provider,service_category,service_name,sku_hint,price_usd,unit_raw,unit_standardized,price_period,region,pricing_link,source_notes
GCP,Security,Cloud IAM,,,,,,global,https://cloud.google.com/iam/pricing,unparsed; manual review
GCP,Security,Cloud Security Command Center,,,,,,global,https://cloud.google.com/security-command-center/pricing,unparsed; manual review
GCP,Security,Cloud Key Management Service (KMS),,0.06,active key version month,,,global,https://cloud.google.com/kms/pricing,parsed from sample price
GCP,Security,Cloud Key Management Service (KMS),,0.03,"10,000 oations",,,global,https://cloud.google.com/kms/pricing,parsed from sample price
GCP,Developer Tools,Cloud Build,,0.006,minute (e2-standard-2) after free tier,,,global,https://cloud.google.com/build/pricing,parsed from sample price
GCP,Management Tools,Cloud Monitoring,,0.258,MiB after free tier,,,global,https://cloud.google.com/monitoring/pricing,parsed from sample price
GCP,Management Tools,Cloud Logging,,0.5,GB after free tier,GB,,global,https://cloud.google.com/logging/pricing,parsed from sample price
GCP,AI & Machine Learning,Vertex AI,n1-standard-4 training,0.218499,hour,,hour,global,https://cloud.google.com/vertex-ai/pricing,parsed from sample price
GCP,AI & Machine Learning,Cloud TPU,v4,3.22,chip-hour,,hour,global,https://cloud.google.com/tpu/pricing,parsed from sample price
GCP,AI & Machine Learning,Cloud Vision AI,,1.5,"1,000 units (Label Detection) after free tier",,,global,https://cloud.google.com/vision/pricing,parsed from sample price
GCP,AI & Machine Learning,Cloud Natural Language API,,0.001,"1,000-character unit (Sentiment Analysis) after free tier",,,global,https://cloud.google.com/natural-language/pricing,parsed from sample price
GCP,AI & Machine Learning,Speech-to-Text,,0.024,minute (standard model) after free tier,,,global,https://cloud.google.com/speech-to-text/pricing,parsed from sample price
GCP,AI & Machine Learning,Text-to-Speech,,4.00E-06,character (standard voice) after free tier,,,global,https://cloud.google.com/text-to-speech/pricing,parsed from sample price
